municipality_code,appartement_avg_price_m2,appartement_med_size_m2,avg_net_salary,avg_price_m2,establishments_importance,house_avg_price_m2,house_med_size_m2,med_size_m2,n_appartement,n_house,n_sales,nb_second_home,nb_tot_housing,nb_vacants_housing,population,population_growth,total_amount,total_amount_appartement,total_amount_house,city_name_normalized,department_name,latitude,longitude
94041,5549.4307178631052,48.0,27773.2897818072,5722.9035222052071,0.40703985368334888,7647.166666666667,75.003866404388589,50.0,599.0,54.0,653.0,938,31408,1759,63748.0,0.693424315658131,192522304.62,162236785.62,30285519.0,Ivry Sur Seine,Val-De-Marne,48.8128063812,2.38778023612
31555,3547.1333413346138,55.001154058915233,28886.087240050219,3639.9729674796749,5.7875655776332744,4152.9303713527852,95.992502009890956,60.0,8332.0,1508.0,9840.0,11130,296477,24075,493465.0,1.3633151749693928,2263168083.43,1603059360.55,660108722.88,Toulouse,Haute-Garonne,43.5963814303,1.43167293364
38185,2747.5925066313,59.989140236279454,28623.159417378531,2772.1511627906975,2.5041927528336529,3698.0125,90.0068554203037,60.0,3016.0,80.0,3096.0,4605,98985,11600,158198.0,0.34760545512211305,504199145.85,475873374.85,28325771.0,Grenoble,Isère,45.1821215167,5.72133051752
33063,5044.57149372862,54.000958313368471,29983.973774027731,5189.7219143576822,4.4536708774784657,5595.1261146496818,100.0,64.0,4385.0,1570.0,5955.0,8279,159602,11062,260958.0,1.5132182924362469,2248411739.31,1270115891.99,978295847.32,Bordeaux,Gironde,44.8572445351,-0.57369678116
33281,3639.7490636704119,61.992723201791215,28417.55641135047,4035.227042660882,1.3523495117008313,4579.5189003436426,95.997613339835937,70.0,801.0,582.0,1383.0,1673,38260,1351,72197.0,1.954443393162264,432117542.0,163369954.18,268747587.82,Merignac,Gironde,44.8322953289,-0.681733084891
62193,2668.8941605839418,52.992601318998368,23226.609865218761,2004.7642276422764,0.99731989726742243,1552.6608695652174,84.0,75.0,548.0,805.0,1353.0,650,36131,3679,72509.0,-0.575902590190458,187679961.5,79278608.0,108401353.5,Calais,Pas-De-Calais,50.9502072754,1.87575566132
92050,5772.1692913385823,57.00459200976232,32839.629015514962,6220.5805022156574,0.89606293806978765,7568.4674556213022,91.002821792923811,62.995800279981331,508.0,169.0,677.0,820,41151,1886,96277.0,-0.54748107058374407,281085352.36,162520671.86,118564680.5,Nanterre,Hauts-De-Seine,48.8960701282,2.20671346353
92051,12211.624882186616,77.000636807471878,76466.312108131591,12463.865036231884,0.44891248100164138,18687.744186046511,222.000222000222,79.998494712246782,1061.0,43.0,1104.0,2943,34943,3292,59599.0,-0.56890223556890218,1351474998.89,1142893783.39,208581215.5,Neuilly Sur Seine,Hauts-De-Seine,48.8853719688,2.26642584746
25056,2295.8096868884541,60.99385919922635,24496.612538842983,2349.7920240137223,1.6024443620565065,2732.9166666666665,106.00216328142213,64.010450685826257,2044.0,288.0,2332.0,1807,70639,7103,117912.0,0.97366730892742837,361718700.54,273963962.54,87754738.0,Besancon,Doubs,47.2553872249,6.01948696494
06088,4688.4439675174017,53.994353904848367,26015.300538037533,4783.91003384649,8.2751454221000547,6310.6586270871985,114.99917857729588,55.004024684733032,8620.0,539.0,9159.0,31943,230817,32036,342669.0,0.48001360576133134,2692081802.7,2263566572.32,428515230.38,Nice,Alpes-Maritimes,43.7119992661,7.23826889465
44184,3218.47955801105,51.007286755250753,25740.631070144354,3135.6777014366021,0.33095913968126434,3028.0114942528735,93.496964728892038,68.0015111446921,905.0,696.0,1601.0,2781,41236,3276,71394.0,1.0974383664452914,366338388.1,154261566.26,212076821.84,Saint Nazaire,Loire-Atlantique,47.2802857028,-2.25379927249
42218,1438.1170378042466,65.027631886384171,24137.623649877922,1498.583650190114,1.1654630925704381,2173.5028901734104,94.502758789472807,67.970204841713226,3862.0,346.0,4208.0,2234,99895,12376,173821.0,0.42290382404428506,438861608.96,363858414.47,75003194.49,Saint Etienne,Loire,45.4301235512,4.37913997076
73065,2816.9532338308459,65.989847715736047,25679.8579340485,2913.6687555953445,1.6444758006654039,3781.5178571428573,96.506359065365274,68.996415770609318,1005.0,112.0,1117.0,938,32093,3093,58917.0,0.14277701290092981,224867221.37,178166441.04,46700780.33,Chambery,Savoie,45.583182552,5.90903392417
93048,6927.0122807017542,51.502456749777181,29965.10543584048,7131.9474789915967,0.38,7943.1493055555557,80.0,56.500423937685127,1140.0,288.0,1428.0,902,51451,2750,111240.0,1.2063977291336903,592715905.76,415240174.06,177475731.7,Montreuil,Seine-Saint-Denis,48.8633175054,2.44816211857
59350,4158.7788944723616,48.005148005148008,27877.807347725968,3891.9388743191448,3.73312892606,3034.0119047619046,85.0018746103857,56.005719733079125,3781.0,1176.0,4957.0,4514,138547,12604,234475.0,0.59073865927634639,1131644981.36,795011271.13,336633710.23,Lille,Nord,50.6317183168,3.04783272312
51454,2699.9128872923216,60.0,26051.662855364691,2748.3527172031845,2.1767358902565168,2911.3066465256798,91.99574610492364,67.004169148302566,2227.0,662.0,2889.0,2796,104247,9210,181194.0,-0.55814412960798476,562944056.27,364043484.47,198900571.8,Reims,Marne,49.2514906066,4.0402302322
83137,2860.6637904468412,57.989690721649481,24507.96269575417,3118.7145077720206,0.64240795751632385,4480.29918699187,93.990723936277476,61.004689920159151,3245.0,615.0,3860.0,2639,93765,4302,178745.0,1.4455328664343625,814823498.32,530746664.53,284076833.79,Toulon,Var,43.1361589728,5.93239634249
