municipality_code,score,investor,type,latitude,longitude,city_name_normalized,department_name,growth_population,salary_rent_ratio,price_volatility,real_estate_tension,touristic_attractiveness_index,housing_demand_index
84007,0.34,Low,Apartment,43.9352448339,4.84071572505,Avignon,Vaucluse,0.18,0.32,0.6,0.13,0.96,0.21
18033,0.4,Low,Apartment,47.0749572013,2.40417137557,Bourges,Cher,0.32,0.58,0.79,0.0,0.73,0.04
11262,0.49,Low,Apartment,43.1652399898,3.02023868739,Narbonne,Aude,0.46,0.49,0.77,0.65,0.64,0.14
83069,0.43,Low,Apartment,43.1018713534,6.18898508469,Hyeres,Var,0.24,0.27,0.58,0.8,0.81,0.42
49007,0.47,Low,Apartment,47.476837416,-0.556125995444,Angers,Maine-Et-Loire,0.66,0.29,0.81,0.0,0.73,0.32
92002,0.34,Low,Apartment,48.7503412602,2.2993268102,Antony,Hauts-De-Seine,0.33,0.24,0.69,0.0,0.28,0.58
79191,0.52,Low,Apartment,46.328260242,-0.465353019369,Niort,Deux-Sèvres,0.46,0.83,0.9,0.13,0.5,0.15
76540,0.49,Low,Apartment,49.4413460103,1.09256784278,Rouen,Seine-Maritime,0.65,0.46,0.71,0.0,0.71,0.25
85191,0.46,Low,Apartment,46.6675261644,-1.4077954093,Roche Sur Yon,Vendée,0.6,0.47,0.94,0.0,0.41,0.16
56260,0.49,Low,Apartment,47.6597493766,-2.75714329498,Vannes,Morbihan,0.55,0.53,0.63,0.36,0.47,0.35
35238,0.48,Low,Apartment,48.1119791219,-1.68186449144,Rennes,Ille-Et-Vilaine,0.78,0.12,0.58,0.22,0.79,0.39
91228,0.19,Low,Apartment,48.6294831659,2.44008244492,Evry Courcouronnes,Essonne,0.25,0.0,0.63,0.0,0.26,0.2
59009,0.4,Low,Apartment,50.6324372393,3.1535257221,Villeneuve D Ascq,Nord,0.0,1.0,0.5,0.0,0.51,0.31
54395,0.42,Low,Apartment,48.6901995499,6.17588254434,Nancy,Meurthe-Et-Moselle,0.43,0.33,0.73,0.22,0.81,0.22
06027,0.52,Low,Apartment,43.6715162078,7.15275703379,Cagnes Sur Mer,Alpes-Maritimes,0.85,0.22,0.42,0.65,0.36,0.46
50129,0.4,Low,Apartment,49.633412156,-1.63390160204,Cherbourg En Cotentin,Manche,0.15,0.84,0.46,0.13,0.58,0.19
13001,0.6,Low,Apartment,43.5360708378,5.39857444582,Aix En Provence,Bouches-Du-Rhône,0.83,0.3,0.83,0.3,0.86,0.51
34032,0.48,Low,Apartment,43.3475883319,3.23076754164,Beziers,Hérault,0.67,0.41,0.79,0.22,0.51,0.13
